tick_id,mode,tick_latency_s,mean_zone_latency_s,max_zone_latency_s,max_mean_latency_ratio,completed_before_finalization,fallback_count,zones_finalized,finalization_reason,completion_target,max_inflight_zones
0,async,5.586641552999936,0.0,0.0,0.0,0,8,8,timeout,6,4
1,async,1.012678828999924,0.0,0.0,0.0,0,8,8,timeout,6,4
2,async,1.0148858759998802,1.1963600172748556e-05,1.6883000171219464e-05,1.4111972924067313,5,3,8,timeout,6,4
3,async,0.7138502900002095,0.08337710666660314,0.500211711999782,5.999389184850939,6,0,8,completion_fraction,6,4
4,async,0.5548493589999453,0.08340985600011663,0.5004113630002394,5.999427249934824,7,0,8,completion_fraction,6,4
5,async,0.551955531999738,0.08337226950015975,0.5001894960000755,5.999470795251856,6,0,8,completion_fraction,6,4
6,async,0.5766641569998683,0.08343009066667643,0.5005316589999893,5.999414060326692,7,0,8,completion_fraction,6,4
7,async,0.5748695919996862,0.08344136016671655,0.5005937260002611,5.999347625686716,8,0,8,completion_fraction,6,4
