tick_id,mode,tick_latency_s,mean_zone_latency_s,max_zone_latency_s,max_mean_latency_ratio,completed_before_finalization,fallback_count,zones_finalized
0,blocking,6.788996365000003,0.1251021406250743,0.5003957560002164,3.9998976316470936,8,0,8
1,blocking,0.5350545109999985,0.12517993587493947,0.5007813759998498,4.000492351267487,8,0,8
2,blocking,0.5391349720002836,0.12507057824996082,0.500269107999884,3.999894419613757,8,0,8
3,blocking,0.544118115999936,0.1251538765000646,0.5008449790002487,4.001833526906298,8,0,8
4,blocking,0.5368839960001424,0.12509946937490213,0.5004929130000164,4.000759679484515,8,0,8
5,blocking,0.5368316410003899,0.12514237937506323,0.5007194610002443,4.001198183227299,8,0,8
6,blocking,0.5351687919996948,0.12511311962492755,0.5005578159998549,4.000841938083396,8,0,8
7,blocking,0.5375299870001982,0.1250755668749548,0.5003473780002423,4.000360665968184,8,0,8
